"stop_name","yearFlow","lat","long"
"景美火車站",13802,24.090379,121.610931
"富貴火車站",12556,24.715542,121.167371
"東竹火車站",12514,23.2260299,121.2784175
"平和火車站",12022,23.882774,121.520485
"大華火車站",10638,25.049913,121.797543
"武塔火車站",10425,24.448673,121.776036
"海端火車站",8141,23.102934,121.176829
"望古火車站",7796,25.034495,121.763751
"瑞和火車站",7384,22.979984,121.155839
"加祿火車站",7275,22.330971,120.62462
"三民火車站",5533,23.424534,121.345403
"大富火車站",5464,23.605688,121.389624
"山里火車站",5445,22.8618526,121.1377523
"枋山火車站",1217,22.267061,120.659503
"古莊火車站",787,22.345508,120.878078
"溪口火車站",624,23.819105,121.474525
"內獅火車站",426,22.306185,120.643347
"月美火車站",173,23.0164374,121.1491213
"瑞北火車站",57,23.497375,121.3746523
"枋野火車站",52,22.280917,120.717167
"多良火車站",28,22.531571,120.967249
"安通火車站",6,23.297176,121.33332
"深澳火車站",6,25.12778,121.81681
"干城火車站",1,23.942712,121.544258
